MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST
KIA,SPORTAGE FWD 4DR SUV,23,466,187,167,276,1530,120,169,36,91,105,91,100,162,163,58/42
KIA,TELLURIDE 4DR SUV,23,500,199,176,290,1970,130,197,42,99,114,95,115,170,170,57/43
LAND ROVER,DEFENDER 130 4DR SUV,23,510,201,197,302,2506,137,200,35,98,116,85,123,171,170,N/A
LAND ROVER,RANGE ROVER SPORT MHEV 4DR SUV,23,495,205,182,300,2309,N/A,N/A,N/A,N/A,N/A,N/A,N/A,170,170,N/A
LAND ROVER,RANGE ROVER SPORT PHEV 4DR SUV,23,495,205,182,300,2658,N/A,N/A,N/A,N/A,N/A,N/A,N/A,170,170,N/A
LEXUS,GX 460 4DR SUV 4WD,23,488,188,188,279,2350,139,185,43,95,108,99,112,158,158,52/48
LEXUS,RX 350 4DR SUV,23,489,192,171,285,1945,132,157,36,93,107,109,96,166,169,N/A
LEXUS,RX 350h 4DR SUV,23,489,192,171,285,2010,132,157,36,93,107,109,96,166,169,N/A
LEXUS,RX 500h 4DR SUV,23,489,192,171,285,2155,132,157,36,93,107,109,96,166,169,N/A
LEXUS,RZ450e 4DR SUV,23,481,190,164,285,2070,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LINCOLN,CORSAIR 4DR SUV AWD,23,460,189,163,271,1750,124,158,37,88,112,96,95,159,161,56/44
LINCOLN,CORSAIR 4DR SUV FWD,23,460,189,163,271,1678,124,158,37,88,112,96,95,159,161,N/A
LOTUS,EMIRA 2DR COUPE,23,441,190,124,257,1500,112,45,30,74,93,99,86,162,161,N/A
MASERATI,GRECALE MHEV 4DR SUV,23,486,198,166,290,1870,N/A,N/A,N/A,N/A,N/A,95,101,162,169,53/47
MASERATI,GRECALE TROFEO 4DR SUV,23,486,198,166,290,2027,N/A,N/A,N/A,N/A,N/A,95,101,162,169,53/47
MASERATI,MC20 CIELO 2DR CONVERTIBLE,23,467,197,122,270,1540,N/A,N/A,N/A,N/A,N/A,108,89,168,165,40/60
MAZDA,CX-5 4DR SUV,23,457,184,168,270,1666,130,147,39,90,105,96,91,160,160,59/41
MAZDA,CX-5 TURBO 4DR SUV,23,457,184,168,270,1754,130,147,39,90,105,96,91,160,160,59/41
MAZDA,CX50 4DR SUV,23,472,192,162,282,1675,135,119,34,88,106,94,96,165,166,58/42
MAZDA,CX50 TURBO 4DR SUV,23,472,192,162,282,1777,135,119,34,88,106,94,96,165,166,59/41
MCLAREN,ELVA,23,461,194,109,N/A,1274,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MERCEDES-BENZ,AMG GLS CLASS GLS 63 4MATIC 4DR SUV,23,524,203,184,313,2694,145,217,43,97,113,97,114,170,173,N/A
MERCEDES-BENZ,C CLASS C300 4MATIC 4DR SEDAN,23,475,182,144,287,1675,141,59,34,82,101,80,109,160,161,N/A
MERCEDES-BENZ,EQB CLASS 4DR SUV,23,468,183,167,283,2175,140,176,41,87,105,91,94,159,158,N/A
MERCEDES-BENZ,EQE CLASS 300 / 350 4DR SEDAN,23,495,191,150,312,2355,132,54,34,89,118,90,93,163,164,50/50
MERCEDES-BENZ,EQE CLASS 350 4MATIC 4DR SUV,23,486,194,169,303,2580,134,162,39,95,111,88,95,165,166,N/A
MERCEDES-BENZ,EQE CLASS AMG 53 4MATIC 4DR SEDAN,23,496,191,149,312,2525,132,55,34,89,118,90,94,165,161,50/50
MERCEDES-BENZ,EQS CLASS 450 4MATIC 4DR SUV,23,513,196,172,321,2805,148,179,41,95,110,91,101,167,168,N/A
MERCEDES-BENZ,GLC CLASS 300 4MATIC 4DR SUV,23,472,189,164,289,1925,146,163,37,86,105,84,98,163,164,N/A
MERCEDES-BENZ,GLC CLASS 300e 4MATIC 4DR SUV,23,472,189,164,289,2355,146,163,37,86,105,84,98,163,164,N/A
MERCEDES-BENZ,GLS CLASS GLS 450 4MATIC 4DR SUV,23,521,203,182,313,2480,142,217,43,97,113,94,114,170,173,N/A
MERCEDES-BENZ,GLS CLASS GLS 580 4MATIC 4DR SUV,23,521,203,182,313,2610,142,217,43,97,113,94,114,170,173,N/A
MERCEDES-BENZ,MAYBACH GLS CLASS GLS 600 4MATIC 4DR SUV,23,521,203,182,313,2611,142,217,43,97,113,94,114,170,172,N/A
NISSAN,ARIYA 4DR SUV,23,465,217,166,278,1960,107,159,38,87,114,88,100,164,164,53/47
NISSAN,Z 2DR COUPE,23,438,185,132,255,1581,155,57,23,78,112,94,90,157,160,57/43
POLESTAR,POLESTAR 3,23,490,197,163,299,2584,N/A,N/A,N/A,N/A,N/A,N/A,N/A,167,166,N/A
RAM TRUCKS,PROMASTER 1500 HIGH ROOF 136 IN. WB CARGO VAN,23,542,204,252,345,2171,72,316,66,101,190,95,101,181,179,N/A
RAM TRUCKS,PROMASTER 1500 LOW ROOF 118 IN. WB CARGO VAN,23,496,204,225,300,2065,72,271,66,101,190,95,101,181,179,N/A
RAM TRUCKS,PROMASTER 1500 LOW ROOF 136 IN. WB CARGO VAN,23,542,204,225,345,2115,72,316,66,101,190,95,101,181,179,N/A
RAM TRUCKS,PROMASTER 2500 159 IN. WB WINDOWED VAN,23,600,204,252,404,2248,72,375,66,101,190,95,101,181,179,N/A
RAM TRUCKS,PROMASTER 2500 HIGH ROOF 136 IN. WB CARGO VAN,23,542,204,252,345,2163,72,316,66,101,190,95,101,181,179,N/A
RAM TRUCKS,PROMASTER 2500 HIGH ROOF 159 IN. WB CARGO VAN,23,600,204,252,404,2220,72,375,66,101,190,95,101,181,179,N/A
RAM TRUCKS,PROMASTER 2500 LOW ROOF 136 IN. WB CARGO VAN,23,542,204,225,345,2106,72,316,66,101,190,95,101,181,179,N/A
RAM TRUCKS,PROMASTER 3500 159 IN. WB EXT WINDOWED VAN,23,636,204,252,404,2295,72,411,66,101,190,95,137,181,179,N/A
RAM TRUCKS,PROMASTER 3500 HIGH ROOF 136 IN. WB CARGO VAN,23,542,204,225,345,2175,72,316,66,101,190,95,101,181,179,N/A
RAM TRUCKS,PROMASTER 3500 HIGH ROOF 159 IN. WB CARGO VAN,23,600,204,252,404,2233,72,375,66,101,190,95,101,181,179,N/A
RAM TRUCKS,PROMASTER 3500 HIGH ROOF 159 IN. WB EXT CARGO VAN,23,636,204,252,404,2277,72,411,66,101,190,95,137,181,179,N/A
RAM TRUCKS,PROMASTER 3500 LOW ROOF 136 IN. WB CARGO VAN,23,542,204,252,345,2118,72,316,66,101,190,95,101,181,179,N/A
RIVIAN,R1S 4DR SUV,23,510,201,196,308,N/A,117,N/A,N/A,N/A,N/A,89,113,173,173,N/A
SUBARU,LEGACY 4DR SEDAN,23,486,184,150,275,1606,135,47,38,81,111,102,109,158,161,N/A
SUBARU,LEGACY GT 4DR SEDAN,23,486,184,150,275,1718,135,47,38,81,111,102,109,158,161,N/A
SUBARU,OUTBACK 4DR WAGON,23,488,189,168,275,1656,133,172,37,83,98,102,111,157,160,56/44
SUBARU,OUTBACK 4DR WGAON WILDERNESS/XT,23,488,189,168,275,1783,133,172,37,83,98,102,111,157,160,56/44
SUBARU,SOLTERRA SUV,23,469,186,165,285,1980,128,136,36,90,116,91,93,160,161,54/46
TOYOTA,CROWN 4DR SEDAN,23,498,184,154,285,1805,143,50,34,87,107,102,112,160,161,N/A
TOYOTA,MIRAI 4DR SEDAN,23,497,188,147,292,1930,158,41,36,83,111,97,110,161,160,49/51
TOYOTA,PRIUS 4DR LIFTBACK,23,460,178,142,275,1405,117,102,33,78,111,99,87,156,158,60/40
TOYOTA,SEQUOIA 4DR SUV 4WD,23,529,202,189,310,2599,140,216,46,99,122,98,122,172,175,50/50
VINFAST,VF6 4DR SUV,23,424,182,159,273,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VINFAST,VF7 4DR SUV,23,456,189,164,284,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VINFAST,VF8 4DR SUV,23,475,193,167,295,2600,124,167,40,93,117,86,95,165,167,N/A
VINFAST,VF9 4DR SUV,23,512,225,170,315,2600,133,214,37,99,112,90,107,171,172,N/A
VOLVO,EX90 4DR SUV,23,504,196,175,298,2817,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
